vessel,carrier,voyage No.,service,POD,ETA,Berthing,Updatetime
EVER CONCISE (3E3545),EVG,1882-016N / 1884-017S,NSA,OSA,2022/9/11 8:00,2022/9/11 9:00,2022/8/29 23:00
EVER CONCISE (3E3545),EVG,1882-016N / 1884-017S,NSA,OBE,2022/9/11 20:00,2022/9/11 21:00,2022/8/29 23:00
EVER CROWN (3EEF9),EVG,1545-025N / 1548-026S,NSC,TYO,2022/8/31 17:03,2022/8/31 17:37,2022/8/31 23:00
EVER BURLY (H9ON),EVG,1417-040N / 1422-041S,NSD,TYO,2022/8/26 10:51,2022/8/26 11:37,2022/8/29 15:00
EVER CROWN (3EEF9),EVG,1545-025N / 1548-026S,NSC,TYO,2022/8/31 12:00,2022/8/31 13:00,2022/8/29 15:00
EVER BRAVE (3FEB),EVG,1418-050N / 1423-051S,NSD,TYO,2022/8/30 12:00,2022/8/30 13:00,2022/8/29 15:00
EVER CONNECT (3E2049),EVG,1546-009N / 1549-010S,NSC,TYO,2022/9/5 12:00,2022/9/5 13:00,2022/8/29 15:00
EVER BIRTH (3EUL8),EVG,1420-059N / 1424-060S,NSD,TYO,2022/9/6,2022/9/6,2022/8/29 15:00
EVER COMMAND (5LCT7),EVG,1547-020N / 1550-021S,NSC,TYO,2022/9/10,2022/9/10,2022/8/29 15:00
EVER BEAMY (BKLK),EVG,1421-036N / 1425-037S,NSD,TYO,2022/9/16,2022/9/16,2022/8/29 15:00
EVER BURLY (H9ON),EVG,1417-040N / 1422-041S,NSD,YOK,2022/8/27 7:25,2022/8/27 8:05,2022/8/29 15:00
EVER BRAVE (3FEB),EVG,1418-050N / 1423-051S,NSD,YOK,2022/8/31 7:30,2022/8/31 8:30,2022/8/29 15:00
EVER CROWN (3EEF9),EVG,1545-025N / 1548-026S,NSC,YOK,2022/9/1 7:30,2022/9/1 8:30,2022/8/29 15:00
EVER CONNECT (3E2049),EVG,1546-009N / 1549-010S,NSC,YOK,2022/9/6 7:30,2022/9/6 8:30,2022/8/29 15:00
EVER BIRTH (3EUL8),EVG,1420-059N / 1424-060S,NSD,YOK,2022/9/7,2022/9/7,2022/8/29 15:00
EVER COMMAND (5LCT7),EVG,1547-020N / 1550-021S,NSC,YOK,2022/9/10,2022/9/10,2022/8/29 15:00
EVER BEAMY (BKLK),EVG,1421-036N / 1425-037S,NSD,YOK,2022/9/17,2022/9/17,2022/8/29 15:00
EVER CONCISE (3E3545),EVG,1880-015N / 1882-016S,NSA,OSA,2022/8/26 17:10,2022/8/26 17:48,2022/8/29 15:00
GREEN CELEBRITY (3FXL2),EVG,1881-059N / 1883-060S,NSA,OSA,2022/9/6 13:00,2022/9/6 14:00,2022/8/29 15:00
EVER CONCISE (3E3545),EVG,1882-016N / 1884-017S,NSA,OSA,2022/9/10 9:00,2022/9/10 10:00,2022/8/29 15:00
GREEN CELEBRITY (3FXL2),EVG,1883-060N / 1887-062S,NSA,OSA,2022/9/17,2022/9/17,2022/8/29 15:00
EVER CONCISE (3E3545),EVG,1880-015N / 1882-016S,NSA,OBE,2022/8/27 9:55,2022/8/27 10:37,2022/8/29 15:00
GREEN CELEBRITY (3FXL2),EVG,1881-059N / 1883-060S,NSA,OBE,2022/9/6 23:00,2022/9/7 0:00,2022/8/29 15:00
EVER CONCISE (3E3545),EVG,1882-016N / 1884-017S,NSA,OBE,2022/9/10 20:00,2022/9/10 21:00,2022/8/29 15:00
GREEN CELEBRITY (3FXL2),EVG,1883-060N / 1887-062S,NSA,OBE,2022/9/17,2022/9/17,2022/8/29 15:00
EVER BIRTH (3EUL8),EVG,1420-059N / 1424-060S,NSD,TYO,2022/9/7 10:00,2022/9/7 11:00,2022/9/1 15:00
EVER CROWN (3EEF9),EVG,1545-025N / 1548-026S,NSC,TYO,2022/8/31 17:00,2022/8/31 18:00,2022/8/30 15:00
EVER BRAVE (3FEB),EVG,1418-050N / 1423-051S,NSD,TYO,2022/8/30 11:58,2022/8/30 12:36,2022/8/30 15:00
EVER CONNECT (3E2049),EVG,1546-009N / 1549-010S,NSC,TYO,2022/9/7 16:30,2022/9/7 17:30,2022/9/1 15:00
EVER CROWN (3EEF9),EVG,1545-025N / 1548-026S,NSC,YOK,2022/9/1 7:40,2022/9/1 8:25,2022/9/1 15:00
EVER BIRTH (3EUL8),EVG,1420-059N / 1424-060S,NSD,YOK,2022/9/8 7:30,2022/9/8 8:30,2022/9/1 15:00
EVER CONNECT (3E2049),EVG,1546-009N / 1549-010S,NSC,YOK,2022/9/8 18:00,2022/9/8 19:00,2022/9/1 15:00
GREEN CELEBRITY (3FXL2),EVG,1881-059N / 1883-060S,NSA,OSA,2022/9/7 7:00,2022/9/7 8:00,2022/9/1 15:00
EVER CONCISE (3E3545),EVG,1882-016N / 1884-017S,NSA,OSA,2022/9/11 11:40,2022/9/11 12:40,2022/9/9 15:00
GREEN CELEBRITY (3FXL2),EVG,1881-059N / 1883-060S,NSA,OBE,2022/9/7 20:00,2022/9/7 21:00,2022/9/1 15:00
EVER CROWN (3EEF9),EVG,1548-026N / 1552-027S,NSC,TYO,2022/9/22,2022/9/22,2022/9/4 7:00
EVER CONNECT (3E2049),EVG,1546-009N / 1549-010S,NSC,TYO,2022/9/5 11:30,2022/9/5 12:30,2022/8/29 23:00
EVER CROWN (3EEF9),EVG,1548-026N / 1552-027S,NSC,YOK,2022/9/23,2022/9/23,2022/9/4 7:00
EVER CONCISE (3E3545),EVG,1884-017N / 1888-019S,NSA,OSA,2022/9/24,2022/9/24,2022/9/4 7:00
EVER CONCISE (3E3545),EVG,1884-017N / 1888-019S,NSA,OBE,2022/9/24,2022/9/24,2022/9/4 7:00
EVER BRAVE (3FEB),EVG,1418-050N / 1423-051S,NSD,YOK,2022/8/31 7:25,2022/8/31 8:10,2022/8/31 15:00
EVER CONNECT (3E2049),EVG,1549-010N / 1553-011S,NSC,YOK,2022/10/1,2022/10/1,2022/9/26 15:00
GREEN CELEBRITY (3FXL2),EVG,1881-059N / 1883-060S,NSA,OBE,2022/9/10 20:05,2022/9/10 21:05,2022/9/9 15:00
GREEN CELEBRITY (3FXL2),EVG,1881-059N / 1883-060S,NSA,OSA,2022/9/10 7:00,2022/9/10 8:00,2022/9/7 15:00
EVER CONCISE (3E3545),EVG,1882-016N / 1884-017S,NSA,OSA,2022/9/11 10:00,2022/9/11 11:00,2022/9/7 15:00
EVER CONCISE (3E3545),EVG,1882-016N / 1884-017S,NSA,OBE,2022/9/12 19:50,2022/9/12 20:50,2022/9/9 15:00
